Startup,Industry,Sub Vertical,City,Investors,Investment Type,Investment Amount($),Date
Dream11,Consumer Electronics,Audio,Ahmedabad,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Pre-Seed,52000.0,2020-07-23
Groww,FinTech,InsurTech,Ahmedabad,Falcon Edge,Debt,374000.0,2020-07-23
NeoLabs,SaaS,HRTech,Noida,Blume Ventures,Seed,613000.0,2020-07-21
BlueTech,FinTech,Payments,Mumbai,"Accel, Info Edge",Pre-Seed,53000.0,2020-07-19
BlueRise,SaaS,DevTools,Mumbai,Ventures India,Seed,64000.0,2020-07-19
DriveLoop,Enterprise,Automation,Ahmedabad,Lightspeed India,Series A,9076000.0,2020-07-17
InMobi,E-commerce,D2C,Kolkata,Elevation Capital,Seed,181000.0,2020-07-17
FinSpace,Retail,Fashion,Ahmedabad,"Info Edge, Nexus Venture Partners, Tiger Global Management",Series A,4765000.0,2020-07-14
Myntra,Enterprise,Automation,Ahmedabad,"Ribbit Capital, Sequoia Capital India",Series C,28289000.0,2020-07-14
Cars24,SaaS,HRTech,Chennai,Sequoia Capital India,Series B,41297000.0,2020-07-13
EduTech,Media,Streaming,Pune,SoftBank Vision Fund,Angel,23000.0,2020-07-09
HomeAnalytics,Logistics,Last Mile,Bengaluru,Peak XV,Pre-Seed,64000.0,2020-07-07
ClearDekho,HealthTech,Health Analytics,Noida,Lightspeed India,Series A,2168000.0,2020-07-07
Myntra,E-commerce,Quick Commerce,Bengaluru,"Kalaari Capital, LCatterton, Ribbit Capital",Seed,181000.0,2020-07-01
HomeMart,Consumer Electronics,Wearables,Noida,Y Combinator,Series A,5696000.0,2020-06-28
ShareChat,Media,Streaming,Chennai,Nexus Venture Partners,Series C,91037000.0,2020-06-28
BharatPe,AgriTech,Supply Chain,Hyderabad,"Blume Ventures, Mirae Asset",Series B,7709000.0,2020-06-25
FarmBox,FinTech,InsurTech,Noida,Matrix Partners India,Series C,27201000.0,2020-06-19
GrowthCare,Media,Social,Kolkata,"Kedaara Capital, Ventures India",Series A,1560000.0,2020-06-19
NimbusLabs,Consumer Electronics,Wearables,Kolkata,"Sequoia Capital India, Ventures India",Series A,1260000.0,2020-06-18
GrowthFlow,EdTech,UpSkilling,Mumbai,Zodius Capital,Pre-Series A,198000.0,2020-06-17
BlueSpace,FoodTech,Food Delivery,Chennai,"A91 Partners, Sequoia Capital India",Seed,341000.0,2020-06-16
Practo,Retail,E-Retail,Gurugram,Matrix Partners India,Seed,66000.0,2020-06-15
GreenConnect,FoodTech,Grocery,Delhi,"IFC, Ribbit Capital",Seed,309000.0,2020-06-10
QuantumSolutions,EdTech,Coding Bootcamp,Chennai,"A91 Partners, Info Edge",Series C,289340000.0,2020-06-10
NoBroker,AgriTech,Marketplace,Gurugram,"Kedaara Capital, SoftBank Vision Fund",Seed,304000.0,2020-06-09
Meesho,Retail,E-Retail,Delhi,"Info Edge, Ribbit Capital, Tiger Global Management",Pre-Seed,127000.0,2020-06-09
HomeAnalytics,E-commerce,Fashion,Delhi,Y Combinator,Seed,65000.0,2020-06-08
QuantumDrive,EdTech,Coding Bootcamp,Pune,"Falcon Edge, Y Combinator",Seed,670000.0,2020-06-08
Bounce,Media,Social,Bengaluru,Omidyar Network,Seed,226000.0,2020-06-08
MediSpace,HealthTech,Health Analytics,Kolkata,SoftBank Vision Fund,Growth,62547000.0,2020-06-02
Groww,SaaS,DevTools,Chennai,"Peak XV, Tiger Global Management",Seed,65000.0,2020-06-02
HyperLoop,Enterprise,Automation,Delhi,"Kedaara Capital, Mirae Asset, Sequoia Capital India",Seed,1367000.0,2020-05-26
WorkFit,Real Estate,Home Services,Delhi,"Kedaara Capital, Tiger Global Management, Ventures India",Series A,1883000.0,2020-05-24
DriveEdge,Retail,Fashion,Gurugram,"LCatterton, Prosus Ventures, Ribbit Capital",Pre-Series A,111000.0,2020-05-23
CureFit,HealthTech,Pharmacy,Kolkata,Y Combinator,Series A,6387000.0,2020-05-20
NextSense,Mobility,Ride Sharing,Delhi,"IFC, Kalaari Capital, Peak XV",Seed,54000.0,2020-05-19
Meesho,FinTech,Lending,Hyderabad,Elevation Capital,Seed,201000.0,2020-05-18
LogiRise,AgriTech,Supply Chain,Kolkata,"Ribbit Capital, Tiger Global Management",Seed,1102000.0,2020-05-18
FarmFit,SaaS,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,110000.0,2020-05-18
Byju's,Real Estate,Home Services,Ahmedabad,Kalaari Capital,Pre-Series A,279000.0,2020-05-17
Dream11,Retail,Fashion,Noida,Prosus Ventures,Pre-Seed,187000.0,2020-05-14
Ola,E-commerce,Quick Commerce,Pune,Elevation Capital,Series A,8905000.0,2020-05-14
FreshTech,FoodTech,Grocery,Ahmedabad,Elevation Capital,Seed,598000.0,2020-05-13
SmartMart,Consumer Electronics,Smart Home,Delhi,"Bessemer Venture Partners, Elevation Capital, Info Edge",Series C,125287000.0,2020-05-09
GreenMart,Enterprise,Automation,Mumbai,"Omidyar Network, Tiger Global",Series C,42009000.0,2020-05-06
AgriFit,Logistics,Last Mile,Noida,"Kalaari Capital, Matrix Partners India, Tiger Global Management",Seed,107000.0,2020-05-06
HyperLoop,EdTech,Test Prep,Ahmedabad,"Mirae Asset, SoftBank Vision Fund, Tiger Global",Series B,35610000.0,2020-05-04
Ola,HealthTech,Diagnostics,Delhi,SoftBank Vision Fund,Series C,20605000.0,2020-05-03
Cred,FinTech,WealthTech,Gurugram,"Falcon Edge, Ribbit Capital",Pre-Seed,82000.0,2020-05-03
OYO Rooms,Media,Content,Noida,Matrix Partners India,Seed,216000.0,2020-05-02
AeroAnalytics,Consumer Electronics,Smart Home,Gurugram,"Blume Ventures, Matrix Partners India, Ventures India",Seed,1202000.0,2020-04-30
NimbusWorks,AgriTech,Supply Chain,Hyderabad,SoftBank Vision Fund,Seed,833000.0,2020-04-29
HealthWorks,Media,Content,Pune,"Matrix Partners India, Tiger Global",Series C,245913000.0,2020-04-29
BlueTech,Consumer Electronics,Wearables,Delhi,Info Edge,Seed,514000.0,2020-04-28
Postman,Retail,Fashion,Hyderabad,"Peak XV, Tiger Global, Y Combinator",Seed,108000.0,2020-04-23
QuantumSolutions,HealthTech,Telemedicine,Kolkata,SoftBank Vision Fund,Series C,81514000.0,2020-04-23
BlueTech,HealthTech,Health Analytics,Noida,Falcon Edge,Angel,26000.0,2020-04-23
CloudPay,EdTech,Test Prep,Kolkata,"Nexus Venture Partners, Peak XV",Series A,7441000.0,2020-04-21
CoreConnect,Enterprise,Analytics,Noida,Falcon Edge,Series A,1369000.0,2020-04-21
Wakefit,HealthTech,Pharmacy,Ahmedabad,"Elevation Capital, Omidyar Network, Prosus Ventures",Growth,411602000.0,2020-04-20
WorkStack,Retail,Grocery,Bengaluru,"Bessemer Venture Partners, Blume Ventures",Seed,1593000.0,2020-04-17
NeoTech,Real Estate,Home Services,Gurugram,"Accel, Lightspeed India, Ribbit Capital",Pre-Series A,103000.0,2020-04-16
Swiggy,FinTech,InsurTech,Ahmedabad,"Ribbit Capital, Tiger Global Management, Zodius Capital",Seed,1019000.0,2020-04-15
MobiKwik,Enterprise,Analytics,Noida,"Blume Ventures, Mirae Asset",Pre-Series A,147000.0,2020-04-14
CloudLabs,EdTech,Test Prep,Gurugram,Kedaara Capital,Pre-Seed,144000.0,2020-04-13
DriveFit,EdTech,K12,Ahmedabad,Mirae Asset,Pre-Series A,771000.0,2020-04-13
ClearDekho,HealthTech,Health Analytics,Bengaluru,"Peak XV, Zodius Capital",Series A,1254000.0,2020-04-09
Razorpay,EdTech,K12,Ahmedabad,Prosus Ventures,Series A,4070000.0,2020-04-05
FarmFit,AgriTech,Supply Chain,Pune,Falcon Edge,Series A,1265000.0,2020-04-04
DataAnalytics,Enterprise,Analytics,Gurugram,"SoftBank Vision Fund, Tiger Global",Series A,3795000.0,2020-04-02
Lenskart,SaaS,MarTech,Ahmedabad,Lightspeed India,Seed,94000.0,2020-04-01
AgriFit,Mobility,Ride Sharing,Mumbai,Sequoia Capital India,Series B,13365000.0,2020-04-01
NeoTech,Consumer Electronics,Wearables,Pune,"Elevation Capital, Kalaari Capital, Lightspeed India",Series A,1592000.0,2020-03-30
GrowthCare,AgriTech,Supply Chain,Chennai,A91 Partners,Pre-Seed,100000.0,2020-03-29
FinSense,Enterprise,Security,Hyderabad,Zodius Capital,Series A,2326000.0,2020-03-27
MediSpace,Retail,E-Retail,Ahmedabad,Lightspeed India,Series C,188760000.0,2020-03-26
SmartTech,HealthTech,Diagnostics,Delhi,A91 Partners,Seed,1416000.0,2020-03-25
HealthRise,Retail,Grocery,Gurugram,"Elevation Capital, Prosus Ventures",Seed,82000.0,2020-03-21
HealthRise,EdTech,Test Prep,Mumbai,Lightspeed India,Seed,404000.0,2020-03-19
DriveEdge,FoodTech,Food Delivery,Kolkata,"Lightspeed India, Y Combinator",Pre-Series A,196000.0,2020-03-18
NextStack,Mobility,Micro Mobility,Pune,"Mirae Asset, Y Combinator",Pre-Seed,192000.0,2020-03-18
DriveEdge,Logistics,Last Mile,Pune,"Omidyar Network, Tiger Global Management, Y Combinator",Seed,200000.0,2020-03-18
NimbusLabs,AgriTech,Marketplace,Noida,"Falcon Edge, Kalaari Capital",Debt,1018000.0,2020-03-16
QuantumAnalytics,Real Estate,Rental Tech,Kolkata,"Ribbit Capital, Tiger Global",Growth,372329000.0,2020-03-14
PhonePe,EdTech,K12,Mumbai,"Kedaara Capital, Omidyar Network",Seed,96000.0,2020-03-09
AutoStack,FinTech,WealthTech,Gurugram,Zodius Capital,Series C,71157000.0,2020-03-07
BlueTech,Real Estate,Home Services,Pune,Mirae Asset,Series A,5750000.0,2020-03-02
DriveEdge,FinTech,Lending,Delhi,Bessemer Venture Partners,Seed,1238000.0,2020-02-29
QuantumSolutions,Mobility,EV,Noida,IFC,Seed,104000.0,2020-02-26
HyperSpace,Media,Social,Mumbai,Y Combinator,Series A,4892000.0,2020-02-24
DataEdge,Mobility,Micro Mobility,Noida,Y Combinator,Pre-Series A,736000.0,2020-02-23
Porter,Retail,E-Retail,Hyderabad,A91 Partners,Seed,1788000.0,2020-02-22
Razorpay,FoodTech,Grocery,Pune,Lightspeed India,Series A,6782000.0,2020-02-22
FarmFit,FinTech,WealthTech,Chennai,"Matrix Partners India, SoftBank Vision Fund",Seed,134000.0,2020-02-19
BigBasket,HealthTech,Health Analytics,Ahmedabad,"Mirae Asset, Nexus Venture Partners",Series B,31619000.0,2020-02-19
HomeFoods,Media,Content,Gurugram,"Omidyar Network, Prosus Ventures",Series D,482361000.0,2020-02-17
SmartTech,Media,Social,Hyderabad,Lightspeed India,Series A,1117000.0,2020-02-16
Postman,Media,Content,Hyderabad,Zodius Capital,Angel,17000.0,2020-02-11
AutoStack,Consumer Electronics,Smart Home,Noida,"A91 Partners, IFC, Kedaara Capital",Seed,264000.0,2020-02-08
Freshworks,FoodTech,Food Delivery,Chennai,"Falcon Edge, Prosus Ventures",Series A,14717000.0,2020-02-04
PhonePe,FinTech,NeoBank,Noida,"Falcon Edge, Kedaara Capital",Pre-Series A,497000.0,2020-02-04
UrbanSolutions,EdTech,UpSkilling,Gurugram,Sequoia Capital India,Seed,70000.0,2020-02-02
GreenEdge,Enterprise,Security,Hyderabad,Peak XV,Bridge,1769000.0,2020-02-01
Dailyhunt,Media,Social,Gurugram,"Kalaari Capital, Lightspeed India",Seed,810000.0,2020-01-31
Dailyhunt,FinTech,Payments,Hyderabad,"Falcon Edge, IFC, Ventures India",Series B,48819000.0,2020-01-26
Bounce,AgriTech,Marketplace,Pune,Kalaari Capital,Growth,556750000.0,2020-01-26
HyperSpace,Real Estate,PropTech,Mumbai,"Info Edge, Ribbit Capital",Series A,1969000.0,2020-01-18
HealthAnalytics,Logistics,Supply Chain,Mumbai,Lightspeed India,Series A,1303000.0,2020-01-17
FreshBox,FoodTech,Cloud Kitchen,Chennai,Sequoia Capital India,Seed,95000.0,2020-01-14
UrbanStack,Retail,Fashion,Gurugram,"IFC, Lightspeed India, Ventures India",Pre-Seed,43000.0,2020-01-09
CoreConnect,Enterprise,Security,Kolkata,"LCatterton, SoftBank Vision Fund, Tiger Global",Series B,21321000.0,2020-01-03
AutoStack,FinTech,InsurTech,Delhi,Prosus Ventures,Series B,18981000.0,2020-01-02
PharmEasy,AgriTech,Supply Chain,Bengaluru,LCatterton,Series A,4382000.0,2020-01-02
Byju's,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000.0,2020-09-01
Shuttl,Transportation,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,8048394.0,2020-01-13
Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860.0,2020-09-01
Wealthbucket,FinTech,Online Investment,Delhi,Vinod Khatumal,Pre-series A,3000000.0,2020-02-01
Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000.0,2020-02-01
Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000.0,2020-01-13
Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity Round,150000000.0,2020-10-01
Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,2019-12-12
CarDekho,E-commerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,70000000.0,2019-06-12
Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,2019-03-12
Rivigo,Technology,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000.0,2019-12-13
Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.0,2019-12-17
Licious,E-commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000.0,2019-12-16
InCred,Finance,Non-Banking Financial Company,Mumbai,Unknown,Debt Funding,5900000.0,2019-12-16
Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000.0,2019-12-14
Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0,2019-11-12
Lenskart,E-commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000.0,2019-12-20
Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000.0,2019-11-13
Misters,Health and wellness,Men's Health and Wellness brand,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,486000.0,2019-11-14
Sunstone Eduversity,Education,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.0,2019-11-13
Burger Singh,Food and Beverage,Indian Burger Brand,Gurugram,RB Investments,Venture,500000.0,2019-11-17
Healthians,Health and Wellness,Healthcare services,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,12000000.0,2019-11-18
Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.0,2019-11-15
Aye Finance,FinTech,Financial Services To MSMEs,Gurugram,FinTech,Debt Funding,17411265.0,2019-11-20
SuperGaming,Gaming,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000.0,2019-12-11
Clumio,SaaS,Recovery software,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0,2019-11-20
eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0,2019-11-11
Digital Mall Asia,E-commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220000000.0,2019-11-19
Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.0,2019-11-18
Vogo Automotive,Last Mile Transportation,Scooter sharing app,Bengaluru,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0,2019-11-15
Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Not Know,200000000.0,2019-11-19
Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0,2019-11-25
Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000.0,2019-04-10
Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000.0,2019-02-10
The Man Company,Consumer Goods,Beauty and Grooming,Gurugram,Ayushmann Khurana,Corporate Round,20770463.751474757,2019-10-21
FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0,2019-05-09
Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000.0,2019-04-09
Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000.0,2019-04-09
3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0,2019-04-09
75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0,2019-04-09
Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000.0,2019-04-09
Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0,2019-04-09
GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0,2019-04-09
Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000.0,2019-03-09
CarDekho,E-commerce,Automotive,Gurugram,SC GG India Mobility Holdings LLC,Series C,20000000.0,2019-01-08
Progcap,Finance,Supply Chain Management,Delhi,Sequoia India,Series A,5000000.0,2019-01-08
MyPetrolPump,Retail,Fuel Delivery,Bengaluru,Unknown,Seed Funding Round,1600000.0,2019-01-08
Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0,2019-01-08
Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0,2019-01-08
Meesho,E-commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000.0,2019-12-08
Cars24,E-commerce,Car Retail,Gurugram,MS Dhoni,Series D,11000000.0,2019-08-13
Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000.0,2019-08-13
ZenDrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000.0,2019-08-23
Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000.0,2019-08-23
Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110000000.0,2019-08-23
INDwealth,FinTech,Wealth Management,Gurugram,Tiger Global Management,Venture Round,15000000.0,2019-08-22
HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590000.0,2019-08-21
AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,1000000.0,2019-08-23
Mishry Reviews,Services,Product Review,Gurugram,Vir Sanghvi,Series A,20770463.751474757,2019-08-19
Grofers,E-commerce,Grocery Delivery,Gurugram,Softbank Vision Fund,Series F,70000000.0,2019-08-19
Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000.0,2019-08-27
RenewBuy,Finance,Auto Insurance,Gurugram,"Lok Capital, IIFL Wealth",Series B,19000000.0,2019-02-07
Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0,2019-02-07
WizCounsel,Compliance,Consulting,Delhi,Kapil Dev,Angel,145000.0,2019-01-07
Ola,Transport,Cabs,Bengaluru,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0,2019-03-07
Uniphore,Artificial Intelligence,Speech Recognition,Chennai,March Capital Partners,Series C,38080000.0,2019-01-07
Daalchini Technologies,Food and Beverage,Digital Vending Machine,Delhi,Artha Venture,Seed Round,500000.0,2019-04-07
Byju's,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000.0,2019-10-07
Moglix,E-commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,2019-11-07
Ezyhaul,Technology,Logistics,Singapore,Undisclosed Investors,Series B,16000000.0,2019-10-07
Indus OS,Technology,Smartphone Operating System,Mumbai,Ventureast,Series B,5750000.0,2019-10-07
HealthAssure,Healthcare,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000.0,2019-10-07
House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000.0,2019-09-07
Board Infinity,EdTech,Full-stack career platform,Mumbai,Multiple Angel Investors,Angel Round,319605.0,2019-08-07
NoBroker,E-commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000.0,2019-05-06
Bira91,Food and Beverage,Brewery,Delhi,Anicut Capital,Debt Funding,10000000.0,2019-04-06
FabHotels,E-commerce,Hospitality,Gurugram,"Goldman Sachs, Accel Partners and Qualcomm",Private Equity,4889975.54,2019-03-06
Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000.0,2019-03-06
BharatPe,Finance,FinTech,Delhi,Insight Partners,Series B,75000000.0,2019-04-06
Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.0,2019-04-06
Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000.0,2019-03-06
Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Not Know,2739034.68,2019-06-06
Chakr Innovation,Energy,Renewable Energy,Delhi,IAN Fund,Series A,26000000.0,2019-06-06
Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500.0,2019-06-06
Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430200.0,2019-10-06
OkCredit,FinTech,Financial Services,Gurugram,Tiger Global Management,Series A,15500000.0,2019-10-06
Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000.0,2019-06-06
Vogo Automotive,Transportation,Dockless Scooter Rental Company,Bengaluru,Alteria Capital,Debt Funding,3584000.0,2019-08-06
Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000.0,2019-04-06
Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,20770463.751474757,2019-06-05
Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series,868600.0,2019-06-05
StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,20770463.751474757,2019-05-05
BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation",Series D,150000000.0,2019-01-05
Zenoti,SaaS,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0,2019-02-05
Ather Energy,Automotive,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51000000.0,2019-05-28
FreshVnF,AgriTech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000.0,2019-05-28
GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0,2019-05-30
Bira91,Food and Beverage,Brewery,Delhi,Sixth Sense Ventures,Series B,5600000.0,2019-05-31
Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000000.0,2019-04-16
Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.0,2019-12-04
Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport",Private Equity,430665.0,2019-10-04
Tripoto,Social Media,Travel,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375.0,2019-04-13
Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,200000.0,2019-12-04
Setu,FinTech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,3500000.0,2019-11-04
Toppr,EdTech,E-learning,Mumbai,Milestone,Debt and Preference capital,6320820.0,2019-10-04
Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0,2019-10-04
Unacademy,EdTech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed / Angel Funding,307000.0,2019-10-04
CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0,2019-11-04
My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000.0,2019-04-19
KrazyBee,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,5000000.0,2019-04-19
Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,5000000.0,2019-04-17
Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000.0,2019-04-17
FleetX,Artificial Intelligence,Logistics,Gurugram,India Quotient and LetsVenture's Angel Fund,Pre Series A,20770463.751474757,2019-01-02
Zilingo,E-commerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.0,2019-08-02
NanoClean Global,Nanotechnology,Anti-Pollution,Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000.0,2019-02-13
OYO Rooms,Hospitality,Budget Rooms,Gurugram,DiDi Chuxing,Equity,100000000.0,2018-02-14
CarDekho,Automotive,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet's growth investment arm Capital G and Axis Bank",Series C,110000000.0,2019-03-01
Vyome Therapeutics,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.0,2019-04-01
Samunnati Financial Intermediation & Services,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000.0,2019-04-01
Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,700000.0,2018-04-12
UrbanClap Technologies,Services Platform,Home services marketplace,Delhi,Steadview Capital and Vy Capital.,Series D,50000000.0,2018-01-12
Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000.0,2018-02-12
Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,572000.0,2018-02-12
Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.0,2018-04-12
ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000.0,2018-06-12
